,netThrust,currentAcceleration,currentVelocityDelta,currentVelocity,currentAltitudeDelta,currentAltitude,requiredThrustChange,currentTimestep,sent_time_ns,recv_time_ns,latency
'1.54',36716412.38896637,5.830379471462407,5.830379471462407,312.3673243508809,312.3673243508809,8893.245267919605,70.19553994288027,,,,
'1.55',37006936.728856005,5.905234276559637,5.905234276559637,318.2725586274405,318.2725586274405,9211.517826547046,69.95970750391182,,,,
'1.56',37328830.488353446,5.985854604693169,5.985854604693169,324.25841323213365,324.25841323213365,9535.77623977918,69.69841101350468,,,,
'1.57',37682014.90490048,6.072313133742628,6.072313133742628,330.3307263658763,330.3307263658763,9866.106966145057,69.4117144069774,,,,
'1.58',38066398.8462994,6.164681980353562,6.164681980353562,336.49540834622985,336.49540834622985,10202.602374491285,69.09969166067374,,,,
'1.59',38481879.03970325,6.2630327232178145,6.2630327232178145,342.75844106944766,342.75844106944766,10545.360815560733,68.7624266060806,,,,
'1.60',38928339.54401174,6.367436303298979,6.367436303298979,349.12587737274663,349.12587737274663,10349.762358286804,68.40001335810916,,,,
'1.61',37692523.27204139,6.1963388646875535,6.1963388646875535,355.3222162374342,355.3222162374342,10705.084574524239,69.40318426505071,,,,
'1.62',38236233.41949773,6.317529556942423,6.317529556942423,361.6397457943766,361.6397457943766,11066.724320318615,68.96182885154133,,,,
'1.63',38833439.80415322,6.4488368725662255,6.4488368725662255,368.08858266694284,368.08858266694284,11434.812902985559,68.4770479952649,,,,
'1.64',39694952.599899545,6.625602924006034,6.625602924006034,374.7141855909489,374.7141855909489,11809.527088576508,67.77771704109915,,,,
'1.65',40561185.75574085,6.804977562467362,6.804977562467362,381.51916315341623,381.51916315341623,12191.046251729924,67.0745543459012,,,,
'1.66',41432244.465665326,6.987018948489933,6.987018948489933,388.5061821019062,388.5061821019062,12579.55243383183,66.36747451870241,,,,
'1.67',42308149.6948186,7.171772172609096,7.171772172609096,395.6779542745153,395.6779542745153,12975.230388106345,65.65646054109585,,,,
'1.68',43188840.451317236,7.3592693014037875,7.3592693014037875,403.0372235759191,403.0372235759191,13378.267611682264,64.94156192309728,,,,
'1.69',44074175.9319943,7.549529403399663,7.549529403399663,410.58675297931876,410.58675297931876,13788.854364661584,64.2228929613411,,,,
'1.70',44963937.618041374,7.742558567164342,7.742558567164342,418.3293115464831,418.3293115464831,14207.183676208067,63.5006310379481,,,,
'1.71',45857831.39222407,7.938349923712837,7.938349923712837,426.26766147019595,426.26766147019595,14633.451337678263,62.77501490188076,,,,
