INFO       2022-04-12 14:51:02,975: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
INFO       2022-04-12 14:51:04,286: topic='field_update' sending data='{"currentTimestep": 13}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 13}'
DEBUG      2022-04-12 14:51:04,286: Timestep:    12-{'drag': 3676406.573490233}
INFO       2022-04-12 14:51:04,455: topic='drag' sending data='{"drag": 4240116.540785224}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 4240116.540785224}'
INFO       2022-04-12 14:51:04,455: topic='field_update' sending data='{"currentTimestep": 14}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 14}'
DEBUG      2022-04-12 14:51:04,455: Timestep:    13-{'drag': 4240116.540785224}
INFO       2022-04-12 14:51:04,609: topic='drag' sending data='{"drag": 4834826.429714125}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 4834826.429714125}'
INFO       2022-04-12 14:51:04,609: topic='field_update' sending data='{"currentTimestep": 15}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 15}'
DEBUG      2022-04-12 14:51:04,609: Timestep:    14-{'drag': 4834826.429714125}
INFO       2022-04-12 14:51:04,745: topic='drag' sending data='{"drag": 5457754.302172077}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 5457754.302172077}'
INFO       2022-04-12 14:51:04,745: topic='field_update' sending data='{"currentTimestep": 16}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 16}'
DEBUG      2022-04-12 14:51:04,745: Timestep:    15-{'drag': 5457754.302172077}
INFO       2022-04-12 14:51:04,885: topic='drag' sending data='{"drag": 6105968.785145606}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 6105968.785145606}'
INFO       2022-04-12 14:51:04,885: topic='field_update' sending data='{"currentTimestep": 17}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 17}'
DEBUG      2022-04-12 14:51:04,885: Timestep:    16-{'drag': 6105968.785145606}
INFO       2022-04-12 14:51:04,964: topic='drag' sending data='{"drag": 6776421.152425291}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 6776421.152425291}'
INFO       2022-04-12 14:51:04,964: topic='field_update' sending data='{"currentTimestep": 18}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 18}'
DEBUG      2022-04-12 14:51:04,964: Timestep:    17-{'drag': 6776421.152425291}
