INFO       2022-07-30 22:12:41,844: topic='drag' sending data='{"drag": 0}' as format_msg_with_header(msgToSend)=b'36   drag                     {"drag": 0}'
DEBUG      2022-07-30 22:12:50,047: Timestep:    25-{'drag': 12560873.810445054}
INFO       2022-07-30 22:12:50,444: topic='drag' sending data='{"drag": 13290145.628340848}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 13290145.628340848}'
INFO       2022-07-30 22:12:50,444: topic='field_update' sending data='{"currentTimestep": 27}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 27}'
DEBUG      2022-07-30 22:12:50,444: Timestep:    26-{'drag': 13290145.628340848}
INFO       2022-07-30 22:12:50,923: topic='drag' sending data='{"drag": 14011251.927912684}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 14011251.927912684}'
INFO       2022-07-30 22:12:50,923: topic='field_update' sending data='{"currentTimestep": 28}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 28}'
DEBUG      2022-07-30 22:12:50,923: Timestep:    27-{'drag': 14011251.927912684}
INFO       2022-07-30 22:12:51,337: topic='drag' sending data='{"drag": 14721676.217083063}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 14721676.217083063}'
INFO       2022-07-30 22:12:51,337: topic='field_update' sending data='{"currentTimestep": 29}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 29}'
DEBUG      2022-07-30 22:12:51,337: Timestep:    28-{'drag': 14721676.217083063}
INFO       2022-07-30 22:12:51,846: topic='drag' sending data='{"drag": 15419056.754360065}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 15419056.754360065}'
INFO       2022-07-30 22:12:51,846: topic='field_update' sending data='{"currentTimestep": 30}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 30}'
DEBUG      2022-07-30 22:12:51,846: Timestep:    29-{'drag': 15419056.754360065}
INFO       2022-07-30 22:12:52,228: topic='drag' sending data='{"drag": 16101192.290891014}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 16101192.290891014}'
INFO       2022-07-30 22:12:52,228: topic='field_update' sending data='{"currentTimestep": 31}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 31}'
DEBUG      2022-07-30 22:12:52,228: Timestep:    30-{'drag': 16101192.290891014}
INFO       2022-07-30 22:12:52,751: topic='drag' sending data='{"drag": 16766045.267046994}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 16766045.267046994}'
INFO       2022-07-30 22:12:52,751: topic='field_update' sending data='{"currentTimestep": 32}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 32}'
DEBUG      2022-07-30 22:12:52,751: Timestep:    31-{'drag': 16766045.267046994}
INFO       2022-07-30 22:12:53,246: topic='drag' sending data='{"drag": 17411742.67147129}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 17411742.67147129}'
INFO       2022-07-30 22:12:53,246: topic='field_update' sending data='{"currentTimestep": 33}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 33}'
DEBUG      2022-07-30 22:12:53,246: Timestep:    32-{'drag': 17411742.67147129}
INFO       2022-07-30 22:12:53,643: topic='drag' sending data='{"drag": 18036574.794745408}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 18036574.794745408}'
INFO       2022-07-30 22:12:53,643: topic='field_update' sending data='{"currentTimestep": 34}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 34}'
DEBUG      2022-07-30 22:12:53,643: Timestep:    33-{'drag': 18036574.794745408}
INFO       2022-07-30 22:12:54,138: topic='drag' sending data='{"drag": 18638992.125252523}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 18638992.125252523}'
INFO       2022-07-30 22:12:54,138: topic='field_update' sending data='{"currentTimestep": 35}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 35}'
DEBUG      2022-07-30 22:12:54,138: Timestep:    34-{'drag': 18638992.125252523}
INFO       2022-07-30 22:12:54,643: topic='drag' sending data='{"drag": 19217600.642246768}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 19217600.642246768}'
INFO       2022-07-30 22:12:54,643: topic='field_update' sending data='{"currentTimestep": 36}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 36}'
DEBUG      2022-07-30 22:12:54,643: Timestep:    35-{'drag': 19217600.642246768}
INFO       2022-07-30 22:12:55,133: topic='drag' sending data='{"drag": 19771155.761537887}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 19771155.761537887}'
INFO       2022-07-30 22:12:55,133: topic='field_update' sending data='{"currentTimestep": 37}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 37}'
DEBUG      2022-07-30 22:12:55,133: Timestep:    36-{'drag': 19771155.761537887}
INFO       2022-07-30 22:12:55,537: topic='drag' sending data='{"drag": 20298555.18363142}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 20298555.18363142}'
INFO       2022-07-30 22:12:55,537: topic='field_update' sending data='{"currentTimestep": 38}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 38}'
DEBUG      2022-07-30 22:12:55,537: Timestep:    37-{'drag': 20298555.18363142}
INFO       2022-07-30 22:12:55,928: topic='drag' sending data='{"drag": 20798830.883725177}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 20798830.883725177}'
INFO       2022-07-30 22:12:55,929: topic='field_update' sending data='{"currentTimestep": 39}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 39}'
DEBUG      2022-07-30 22:12:55,929: Timestep:    38-{'drag': 20798830.883725177}
INFO       2022-07-30 22:12:56,437: topic='drag' sending data='{"drag": 21271140.468735974}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 21271140.468735974}'
INFO       2022-07-30 22:12:56,438: topic='field_update' sending data='{"currentTimestep": 40}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 40}'
DEBUG      2022-07-30 22:12:56,439: Timestep:    39-{'drag': 21271140.468735974}
INFO       2022-07-30 22:12:57,040: topic='drag' sending data='{"drag": 21714758.10954448}' as format_msg_with_header(msgToSend)=b'52   drag                     {"drag": 21714758.10954448}'
INFO       2022-07-30 22:12:57,042: topic='field_update' sending data='{"currentTimestep": 41}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 41}'
DEBUG      2022-07-30 22:12:57,043: Timestep:    40-{'drag': 21714758.10954448}
INFO       2022-07-30 22:12:57,645: topic='drag' sending data='{"drag": 22129065.237845734}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22129065.237845734}'
INFO       2022-07-30 22:12:57,646: topic='field_update' sending data='{"currentTimestep": 42}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 42}'
DEBUG      2022-07-30 22:12:57,647: Timestep:    41-{'drag': 22129065.237845734}
INFO       2022-07-30 22:12:58,127: topic='drag' sending data='{"drag": 22513541.177216664}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22513541.177216664}'
INFO       2022-07-30 22:12:58,129: topic='field_update' sending data='{"currentTimestep": 43}' as format_msg_with_header(msgToSend)=b'48   field_update             {"currentTimestep": 43}'
DEBUG      2022-07-30 22:12:58,130: Timestep:    42-{'drag': 22513541.177216664}
INFO       2022-07-30 22:12:58,655: topic='drag' sending data='{"drag": 22867753.857981943}' as format_msg_with_header(msgToSend)=b'53   drag                     {"drag": 22867753.857981943}'
